High,Low
246.55,218.86
224.52,217.84
220.33,204.79
208.18,200.85
204.9,197.3
205.52,198.57
210.4,199.97
211.03,204.97
209.04,196.68
211.58,192.11
215.28,207.03
215.75,209.79
217,207
209.79,199.77
203.12,193.48
204.02,192.61
205.82,196.21
200.82,188.59
192.04,185.68
193.26,177.43
210.19,180.7
214.5,208.83
216.44,207.25
214,197.36
210.62,198.79
211.33,201.75
210.63,195.25
218.74,205.5
215.15,210.51
216.99,206.06
227.05,202.59
218.32,196.45
197.51,192.47
198.8,190.87
199.3,192.52
197.35,186.03
189.33,185.19
192.4,178.54
183.71,169.93
174.48,168.31
186.24,167.51
188.23,177.24
189.22,170.61
174.52,168.55
174.28,148.91
161.06,152.44
161.57,155.52
158.85,150.6
164.75,155.17
161.37,154.01
170.1,152.52
173.2,165.91
174.23,163.73
175.78,162.75
171.24,142.55
145.26,140.84
145.71,139.36
146.46,138.01
148.91,135.26
136.56,128.93
135.14,130.54
134.72,125.02
131.74,124.84
132.68,125.48
140.99,131.09
139.22,133.69
141.88,133.06
142.9,132.67
136.93,120.2
136.86,121.37
137.33,126.01
151.85,118.07
141.05,115.59
117.91,110.16
120.6,109.67
124.38,102.44
132.13,120.93
134.58,121.27
138.86,88.5
195.4,102.83
202.96,182.15
205.62,196.17
208.23,190.73
237.3,196.71
251.55,236.87
244.98,227.71
233.96,224.34
228.66,220.74
232.37,220.34
234.24,216.23
227.44,213
232.87,217.43
234.55,214.47
238.07,210.36
250.05,216.39
266.17,245.75
276.81,258.15
275.3,261.24
266.71,256.97
267.8,254.15
264.22,246.46
285.75,253.88
285.59,259.3
268.45,242.11
273.81,237.89
287.93,262.45
286.34,260.78
277.39,257.09
274.89,236.73
238.61,218.22
229.28,217.02
230.38,223.07
227.55,213.75
224.53,213.14
216.14,201.29
207.51,188.26
191.48,188.93
194.92,187.16
193.25,179.49
184.17,179.36
185.67,175.46
186.76,171.2
178.41,173.76
176.06,170.27
171.97,165.45
168,159.55
162.72,157.87
164.27,155.65
168.25,159.78
171.27,166.19
169.79,165.53
169.24,161.61
177.77,162.04
179.29,165.34
173.96,162.33
167.18,159.08
166.45,159.74
169.73,143.59
146.87,142.64
146.46,142
147.68,142.23
144.86,135.69
141.6,135.85
147.55,137.61
145.13,139.22
144.27,135.17
138.33,134.32
135.57,132.76
134.86,126.05
130.77,126.74
132.97,128.81
133.53,128.27
136.16,130.91
137.74,127.67
129.73,125.98
127.04,123.18
132.12,124.53
128.17,124.18
129.77,127.07
134.92,126.55
133.04,127.09
128.79,126.85
129.66,126.31
133.9,126.12
133.93,117.14
132.96,120.63
142.75,131
143.87,140.3
145.17,141.4
145.43,143.51
145.82,140
146.57,142.53
148.48,144.49
151.75,147.02
152.22,147.09
149.76,147.54
149.36,147.01
149.08,144.64
151.02,143.95
149.84,146.56
151.63,147.49
152.33,146.26
155.19,150.45
157.27,150.64
154.68,149.71
155.43,141.91
149.81,144.04
151.26,131.78
153.24,139.79
154.25,146.6
163.06,139.13
175.91,158.55
177.42,173.99
178.7,173.48
184.33,176.08
185.97,180.49
183.46,179.53
186.1,178.29
188.91,183.96
189.45,185.7
187.44,183.24
190.17,184.32
191.28,183.55
185.73,182.86
188.35,181.83
192.27,185.48
194.11,188.13
191.45,183.12
188.27,180.69
184.51,179.46
185.18,181.94
184.28,178.69
185.21,178.24
191.58,180.58
192.28,181.67
188.91,180.7
188.33,176.47
192.54,174.35
186.24,160.41
163.68,159.4
171.61,154.42
175.08,170.82
177.67,171.91
176.17,169.56
174.81,170.38
177.47,169.28
178.33,172.12
181.08,172.49
187.67,178.26
186.99,180.65
184.42,178.89
184.49,178.78
195.87,179.76
194.08,187.33
195.08,179.39
184.57,177.74
182.03,169.13
176.87,168.74
176.63,172.39
178.43,171.33
180.57,170.65
180.84,173.97
184.95,174.03
180.52,165.59
174.43,164.97
175.15,168.56
175.65,161.32
169.81,153.17
174.26,162.12
202.97,164.78
211.76,199.82
215.64,206.71
221.17,213.71
221.27,213.12
223.35,202.95
216.89,207.69
214.45,195.95
198.82,188.68
190.23,185.92
188.54,180.09
181.53,177.79
182.37,176.85
182.27,174.86
184.16,177.44
184.76,176.25
183.42,177.36
180.63,168.42
177.79,166.16
175.56,170.54
180.06,173.85
182.59,175.37
180.56,169.45
173.22,167.08
174.43,166.16
170.27,165.38
173.05,164.04
187.13,167.57
188.61,184.26
193.09,186.02
191.49,182.81
193.47,186.13
195.32,175.8
194.42,182.97
196.78,181.29
201.96,194.55
202.81,192.33
197.17,182.96
186.12,181.58
188.03,179.35
189.3,176.08
209.43,183.74
211.01,106.01
215.97,209.49
216.23,205.64
213.53,202.35
220.49,206.4
226.11,215.57
229.22,220.62
237.47,222.46
235,220.75
222.21,216.31
223,215.52
220.84,213.93
217.55,211.23
218.19,208.17
