High,Low
10896.2,10227.4
10630.7,10469.9
10783.6,10388.6
10756.8,10283.5
10431.5,9720.3
9799.5,9533.6
9677.5,9457.3
9675.7,9370.2
9729.1,9343
10271.3,9629.6
10387.6,10060.2
10568.2,10136
10307,9935.2
10415.9,9917.5
10434.3,9921.4
10218.2,9777
10797.8,9908
10941.6,10581
10923.9,10267.8
10494.9,10086.7
10460.7,10016.3
10734,9788.6
10448.2,9580.1
10894.5,9965.5
11445.6,10793.2
11508.6,11267.3
11728.4,11146.1
12185,11281.6
12225.3,11885
12236.6,11727
12114.5,11406.4
12291.9,11237
11922.3,10934.8
11017.7,10568.8
10893.6,10504.5
10664.8,10330.5
10459,9890.6
10100,9562.4
9703,9483
9835.4,9502.5
9798.5,9401.1
10232.3,9389.1
10436.1,9724.2
10203.5,9776.6
9945.3,9584
10414.7,9865.4
10806.3,10196.5
10883.8,10442.5
11155.6,10462
10758.4,10160.7
10787.1,9390
9983.6,9082.6
11019.5,9375.3
11064.7,9885.4
11448.7,10128.9
11798.4,10839.4
11881.4,11109.8
12111.6,11029
13134.4,11594.9
12772.9,12111.2
12332.3,11304.8
11524.6,11108.1
11650.2,10967.9
11381.8,10810.3
11948,11087.1
11931.8,10835.9
10923.5,9728.5
11254.5,10041.6
12179.3,10765.4
12422.9,11490.8
12461.8,10970.5
13422,10493.5
13929.8,11747.3
11833.9,11033.7
11114.4,10622.6
11361.3,10557.8
11160.5,10031.3
10184.3,9517.4
9583.9,9188.4
9295.1,9044
9336.1,8962.7
9438.1,8959.8
9332,8771.1
8856.7,8582.3
8685.3,8153.2
8306.1,8028.6
8198.1,7805.8
8010.4,7714.5
8012.8,7523.6
7937.5,7516.9
8044.4,7770.5
8099.4,7749.4
7861.4,7480.4
7885,7590.4
8118.1,7494
8734.9,8102.7
8807.7,8534.8
8615.8,8454
8578.8,8135
9045.9,8054.7
8747.2,8435.3
8794.1,8568.8
8902.8,8607.3
8718.6,7866.5
8090.1,7919.1
8124.1,7775.4
7939.1,7486.8
7999,7545.9
8056.8,7813.2
8156.4,7604
8253.4,7252.3
7458.5,7189.4
7924,6998.6
8293.3,7720.4
8225.3,7856.5
8323.9,7674
8058.3,6893.1
7518.9,6802.6
7373.8,6386.5
6466.6,6157.8
6206,5990
6011.3,5799.1
6019.8,5745.5
5801.4,5630.5
5838.2,5708.2
5899.2,5605
5844.2,5478.7
5530.8,5370
5396.3,5319.5
5336.6,5195.9
5322.9,5188.9
5332.5,5234.4
5318.1,5225.4
5469.3,5159.3
5528.2,5137.4
5589.6,5346.8
5594.4,5291.4
5370.2,5170.2
5308.2,5189.8
5327,5240.2
5282.4,5192.1
5293.1,5205
5230.9,5165.5
5198.4,5014.4
5168,4964.2
5153.5,5010.7
5093.4,5011.6
5080.5,4889.2
5337,4948
5404.1,5142.9
5245.9,5095.2
5300.6,5060.5
5219.5,5033.7
5198.4,4947.9
5029.4,4888.3
5042.5,4789.2
5278.4,4814
4899.6,4143.5
4159.1,4076.8
4121.9,4082.2
4138.1,4057.1
4123.1,4022.6
4041.7,4008.4
4043.3,3936.2
3950.7,3899.9
4000.5,3897.9
4005.7,3967
4018.2,3980.8
4005.7,3971.8
4064,3923.8
4050,3985.3
4029.9,3972.4
4032.3,3958.5
4009.8,3956.3
4050.6,3923.7
3935.7,3874.8
3914.7,3828.4
3894.7,3847.4
3900.1,3817.1
3935.5,3842.4
3944.5,3889.2
3964,3859.7
3929,3810.7
3907.4,3847.9
3887.3,3816.7
3873.2,3705.7
3828.4,3681.8
3836.6,3789.7
3843.2,3783.6
3855.8,3816.4
3883.7,3783.3
3836.4,3701.9
3845.5,3775
3870.7,3753.8
4194.2,3738.7
4152.6,3939.4
3983.1,3931.7
4011.5,3909.2
3983.6,3881.2
3993.8,3863.7
3903.7,3655.1
3689.9,3607.9
3641.9,3599.7
3648.3,3581.4
3624.5,3580.2
3663.5,3599.2
3656.4,3594.4
3681.1,3623.8
3680.6,3617.1
3675.3,3633.2
3721.1,3382.5
3421.8,3390.3
3478,3383.9
3485.9,3450.3
3479.7,3437.1
3507.8,3431.3
3514.5,3447.8
3485.7,3415.3
3484.7,3427
3479,3394.2
3450.1,3368.2
3561.2,3395.7
3583.2,3509.2
3652.5,3556.1
3582.6,3542.2
3587,3539.7
3608.3,3532.8
3607.9,3465.2
3561.4,3505.4
3699.1,3503.9
3715.2,3604.1
3627.9,3575.7
3636.7,3554.8
3644.1,3561.4
3660.8,3545.7
3672,3490.4
3617.6,3473.2
3633.9,3561.3
3655.7,3563.1
4007.7,3562.1
4014.2,3957.5
4070.5,3943.1
4028,3945.5
4034.1,3758.5
3846.7,3769
3823.9,3720
3875.8,3753
3894.8,3768.1
3814.3,3664.4
3819.6,3658.8
3837.7,3682.5
3899.6,3696
3900.3,3565.5
3822.6,3560.8
3841.9,3680.3
4030.7,3676.5
4208.2,3941.9
4037.1,3904.6
3977.2,3803.7
4153.1,3786.9
